Fecha,precio_eth,volumen_eth,precio_nasdaq,volumen_nasdaq
2015-12-21 00:00:00,"0,896806287","543846,3978","4968,919922",1673400000
2015-12-22 00:00:00,"0,8789593131","468144,5604","5001,109863",1556670000
2015-12-23 00:00:00,"0,8675654553","333657,8603","5045,930176",1591490000
2015-12-24 00:00:00,"0,8613630165","353090,3404","5048,490234",706880000
2015-12-28 00:00:00,"0,842169613","228592,5876","5040,990234",1310650000
2015-12-29 00:00:00,"0,8694878108","211396,5675","5107,939941",1383470000
2015-12-30 00:00:00,"0,9003543017","584414,4706","5065,850098",1247530000
2015-12-31 00:00:00,"0,9365399678","668846,0704","5007,410156",1437480000
2016-01-04 00:00:00,"0,9592978352","341506,8214","4903,089844",2218420000
2016-01-05 00:00:00,"0,9531022411","217443,2381","4891,430176",1927380000
2016-01-06 00:00:00,"0,9684340118","328507,1524","4835,759766",2168620000
2016-01-07 00:00:00,"0,9589767804","642269,5176","4689,430176",2552590000
2016-01-08 00:00:00,"0,9955747812","554403,4018","4643,629883",2288750000
2016-01-11 00:00:00,"1,068726621","1025253,038","4637,990234",2391110000
2016-01-12 00:00:00,"1,167362901","2962550,395","4685,919922",2147470000
2016-01-13 00:00:00,"1,129588346","1003321,36","4526,060059",2533200000
2016-01-14 00:00:00,"1,157377553","731050,8484",4615,2565560000
2016-01-15 00:00:00,"1,210735463","4049516,212","4488,419922",2818630000
2016-01-19 00:00:00,"1,376990019","1684557,291","4476,950195",2394550000
2016-01-20 00:00:00,"1,565411905","2899771,051","4471,689941",3204130000
2016-01-21 00:00:00,"1,544691862","1670627,322","4472,060059",2447750000
2016-01-22 00:00:00,"1,471341823","1585027,992","4591,180176",2153340000
2016-01-25 00:00:00,"2,481396086","10884776,21","4518,490234",2028880000
2016-01-26 00:00:00,"2,086782727","11669540,23","4567,669922",1981180000
2016-01-27 00:00:00,"2,384501159","7048626,219","4468,169922",2115710000
2016-01-28 00:00:00,"2,519719735","5043090,698","4506,680176",2322310000
2016-01-29 00:00:00,"2,486203232","6527897,662","4613,950195",2617550000
2016-02-01 00:00:00,"2,221883059","3991411,341","4620,370117",1983340000
2016-02-02 00:00:00,"2,403111855","3602402,308","4516,950195",2185180000
2016-02-03 00:00:00,"2,515949933","4030697,339","4504,240234",2466190000
2016-02-04 00:00:00,"2,557178944","3532651,02","4509,560059",2200930000
2016-02-05 00:00:00,"2,532878565","2640353,615","4363,140137",2489280000
2016-02-08 00:00:00,"3,165335694","9781404,737","4283,75",2702070000
2016-02-09 00:00:00,"3,720453287","16355217,95","4268,759766",2465790000
2016-02-10 00:00:00,"4,427431438","29316397,61","4283,589844",2448380000
2016-02-11 00:00:00,"6,005000308","28752968,92","4266,839844",2812330000
2016-02-12 00:00:00,"5,475649284","9902598,244","4337,509766",1983190000
2016-02-16 00:00:00,"4,368970122","15444552,59","4435,959961",2117920000
2016-02-17 00:00:00,"3,744022471","14847989,05","4534,060059",2296440000
2016-02-18 00:00:00,"4,397939042","17707643,87","4487,540039",1955870000
2016-02-19 00:00:00,"4,493895383","7215680,132","4504,430176",1903770000
2016-02-22 00:00:00,"5,608714258","15140246,89","4570,609863",1794020000
2016-02-23 00:00:00,"5,61209144","13534870,66","4503,580078",1777750000
2016-02-24 00:00:00,"6,134381259","11396482,66","4542,609863",1978180000
2016-02-25 00:00:00,"5,936257433","20614025,81","4582,200195",1667840000
2016-02-26 00:00:00,"5,897351626","9515283,257","4590,470215",1814920000
2016-02-29 00:00:00,"6,312028458","7546069,554","4557,950195",2065260000
2016-03-01 00:00:00,"7,56015705","20945587,17","4689,600098",2080150000
2016-03-02 00:00:00,"8,398318163","29743237,91","4703,419922",1912510000
2016-03-03 00:00:00,"9,504937043","40441406,85","4707,419922",1936290000
2016-03-04 00:00:00,"10,03776475","35604151,85","4717,02002",2171230000
2016-03-07 00:00:00,"9,397469869","31891736,92","4708,25",2084390000
2016-03-08 00:00:00,"9,800690787","26473661,6","4648,819824",1993060000
2016-03-09 00:00:00,"11,97157976","28637679,64","4674,379883",1789550000
2016-03-10 00:00:00,"11,20642297","26154096,47","4662,160156",1936470000
2016-03-11 00:00:00,"11,20893669","21083465,44","4748,470215",1801790000
2016-03-14 00:00:00,"12,28982461","56738456,43","4750,279785",1615100000
2016-03-15 00:00:00,"12,96689767","30654519,11","4728,669922",1692420000
2016-03-16 00:00:00,"12,52943315","23016882,43","4763,970215",1781060000
2016-03-17 00:00:00,"10,95623221","41222397,15","4774,990234",1907190000
2016-03-18 00:00:00,"10,79765034","56331932,5","4795,649902",2829040000
